,img,name
62,https://img.a.transfermarkt.technology/portrait/header/87854-1569851848.png?lm=1,Fredy
63,https://img.a.transfermarkt.technology/portrait/header/s_216071_210_2012_2.jpg?lm=1,Gabriel
64,https://img.a.transfermarkt.technology/portrait/header/150668-1583690643.png?lm=1,Arturas Zulpa
65,https://img.a.transfermarkt.technology/portrait/header/s_185629_3837_2010_1.jpg?lm=1,Daniel Berntsen
66,https://img.a.transfermarkt.technology/portrait/header/139304-1447764790.jpg?lm=1,Karol Mets
67,https://img.a.transfermarkt.technology/portrait/header/269271-1563266293.jpg?lm=1,Chugui Ye
68,https://img.a.transfermarkt.technology/portrait/header/166400-1548571065.png?lm=1,Gaëtan Karlen
69,https://img.a.transfermarkt.technology/portrait/header/230166-1606809341.png?lm=1,Haitam Aleesami
70,https://img.a.transfermarkt.technology/portrait/header/s_87000_524_2011_1.jpg?lm=1,Arafat Djako
71,https://img.a.transfermarkt.technology/portrait/header/s_143833_8687_2010_1.jpg?lm=1,Andrei Dumitras
72,https://img.a.transfermarkt.technology/portrait/header/186797-1508363147.jpg?lm=1,Marko Kovjenic
73,https://img.a.transfermarkt.technology/portrait/header/s_3201_3060_2012_1.jpg?lm=1,Stathis Tavlaridis
74,https://img.a.transfermarkt.technology/portrait/header/315310-1628962946.jpg?lm=1,Jairo da Silva
75,https://img.a.transfermarkt.technology/portrait/header/85506-1611328245.png?lm=1,Kaspars Dubra
76,https://img.a.transfermarkt.technology/portrait/header/88610-1603043369.png?lm=1,Evgeniy Gapon
77,https://img.a.transfermarkt.technology/portrait/header/140467-1616771798.png?lm=1,Dmitri Aliseyko
78,https://img.a.transfermarkt.technology/portrait/header/261094-1472846731.jpg?lm=1,Bartosz Szymanski
79,https://img.a.transfermarkt.technology/portrait/header/56066-1625771376.png?lm=1,Enzo Pérez
80,https://img.a.transfermarkt.technology/portrait/header/65331-1541147849.jpg?lm=1,Míchel Herrero
81,https://img.a.transfermarkt.technology/portrait/header/215-1564992591.png?lm=1,Roque Santa Cruz
82,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,Seok-hyun Lee
83,https://img.a.transfermarkt.technology/portrait/header/249471-1446726969.jpg?lm=1,Saúl García
84,https://img.a.transfermarkt.technology/portrait/header/265471-1439814383.jpg?lm=1,Matt Grimes
85,https://img.a.transfermarkt.technology/portrait/header/157907-1550777329.jpg?lm=1,Doneil Henry
86,https://img.a.transfermarkt.technology/portrait/header/132208-1538466104.jpg?lm=1,Lewis MacLeod
87,https://img.a.transfermarkt.technology/portrait/header/210081-1546002374.jpg?lm=1,Didier Ndong
88,https://img.a.transfermarkt.technology/portrait/header/145400-1547647538.jpg?lm=1,Wálter Kannemann
89,https://img.a.transfermarkt.technology/portrait/header/s_52556_452_2012_11_23_1.jpg?lm=1,Christian Schneuwly
90,https://img.a.transfermarkt.technology/portrait/header/182923-1616529778.jpg?lm=1,Stefano Denswil
91,https://img.a.transfermarkt.technology/portrait/header/193592-1574609450.png?lm=1,Kristoffer Olsson
92,https://img.a.transfermarkt.technology/portrait/header/43228-1617120748.JPG?lm=1,Albert Rusnák
93,https://img.a.transfermarkt.technology/portrait/header/112343-1596183300.jpg?lm=1,Manolo Gabbiadini
94,https://img.a.transfermarkt.technology/portrait/header/218058-1528724201.jpg?lm=1,Fakhreddine Ben Youssef
95,https://img.a.transfermarkt.technology/portrait/header/41653-1498496132.jpg?lm=1,Johan Dahlin
96,https://img.a.transfermarkt.technology/portrait/header/110885-1531733123.jpg?lm=1,Florian Ballas
97,https://img.a.transfermarkt.technology/portrait/header/175709-1533131644.jpg?lm=1,Stefan Thesker
98,https://img.a.transfermarkt.technology/portrait/header/198929-1571908222.jpg?lm=1,Roberto Floriano
99,https://img.a.transfermarkt.technology/portrait/header/209063-1606657649.png?lm=1,Marius Briceag
